OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
71,71,3481,3132900,0,89,89,2.764148233,8.807549543,9622,62,0,35,0
72,72,3487,3138300,0,100,100,26.50444508,34.28223284,92421,101,0,6,0
73,73,3486,3137400,0,100,100,24.49340218,33.52025337,85384,101,0,6,0
74,74,3493,3143700,0,100,100,27.20870312,34.48884382,95040,101,0,6,0
75,75,3486,3137400,0,100,100,24.49340218,33.52025337,85384,101,0,6,0
76,76,3483,3134700,0,82,82,3.218202699,8.786329625,11209,67,0,36,0
77,77,3492,3142800,0,96,96,12.33333333,17.78482821,43068,82,0,64,1
78,78,3494,3144600,0,100,100,55.29937035,26.0717322,193216,101,0,6,58
79,79,3487,3138300,0,100,100,52.14252939,28.12622702,181821,101,0,22,57
80,80,3490,3141000,0,100,100,51.99283668,28.17552852,181455,101,0,97,57
81,81,2288,2059200,0,100,100,23.80681818,23.73073946,54470,97,0,72,20
82,82,3490,3141000,0,100,100,51.99283668,28.17552852,181455,101,0,97,57
83,83,3488,3139200,0,73,73,1.387901376,6.699868405,4841,55,0,36,0
84,84,3488,3139200,0,73,73,1.387901376,6.699868405,4841,55,0,36,0
85,85,3488,3139200,0,73,73,1.387901376,6.699868405,4841,55,0,36,0
86,86,3495,3145500,1,100,99,27.75336195,21.39651809,96998,100,1,90,23
87,87,3495,3145500,1,100,99,27.75336195,21.39651809,96998,100,1,90,23
88,88,3488,3139200,0,73,73,1.387901376,6.699868405,4841,55,0,36,0
89,89,3488,3139200,0,73,73,1.387901376,6.699868405,4841,55,0,36,0
90,90,459,413100,0,99,99,23.93028322,32.1640596,10984,86,0,2,0
91,91,3488,3139200,0,73,73,1.387901376,6.699868405,4841,55,0,36,0
92,92,3488,3139200,0,73,73,1.387901376,6.699868405,4841,55,0,36,0
93,93,3488,3139200,0,73,73,1.387901376,6.699868405,4841,55,0,36,0
94,94,3488,3139200,0,73,73,1.387901376,6.699868405,4841,55,0,36,0
95,95,3490,3141000,0,100,100,19.77077364,24.50711036,69000,99,0,84,9
96,96,459,413100,0,99,99,23.93028322,32.1640596,10984,86,0,2,0
97,97,3488,3139200,0,73,73,1.387901376,6.699868405,4841,55,0,36,0
98,98,3488,3139200,0,93,93,5.244266055,12.5383344,18292,86,0,37,0
99,99,3494,3144600,0,43,43,0.447052089,2.956743316,1562,34,0,15,0
100,100,3489,3140100,0,100,100,31.45399828,21.06932739,109743,99,1,88,32
101,101,3490,3141000,0,100,100,15.9495702,28.19861569,55664,101,0,44,0
102,102,1888,1699200,0,99,99,1.724576271,10.51050674,3256,46,0,1,0
103,103,3491,3141900,0,100,100,17.8372959,23.39781861,62270,100,0,87,8
104,104,3490,3141000,0,100,100,30.20744986,27.91240805,105424,101,0,92,30
105,105,3490,3141000,0,100,100,30.20744986,27.91240805,105424,101,0,92,30
106,106,3490,3141000,0,100,100,30.20744986,27.91240805,105424,101,0,92,30
107,107,3490,3141000,0,100,100,30.20744986,27.91240805,105424,101,0,92,30
108,108,3490,3141000,0,100,100,30.20744986,27.91240805,105424,101,0,92,30
109,109,3490,3141000,0,100,100,30.20744986,27.91240805,105424,101,0,92,30
110,110,3493,3143700,1,100,99,27.93844833,21.96282786,97589,100,1,88,22
111,111,3495,3145500,1,100,99,27.75336195,21.39651809,96998,100,1,90,23
112,112,3492,3142800,0,100,100,18.36311569,23.8364846,64124,99,0,82,5
113,113,3481,3132900,0,100,100,4.764722781,13.74443877,16586,89,0,46,0
114,114,3492,3142800,0,100,100,18.36311569,23.8364846,64124,99,0,82,5
115,115,3492,3142800,0,100,100,18.36311569,23.8364846,64124,99,0,82,5
116,116,3492,3142800,0,100,100,18.36311569,23.8364846,64124,99,0,82,5
117,117,3492,3142800,0,100,100,18.36311569,23.8364846,64124,99,0,82,5
118,118,3496,3146400,0,100,100,34.67477117,26.68670046,121223,101,0,96,32
119,119,763,686700,0,99,99,33.70642202,27.80267104,25718,76,0,12,40
120,120,3490,3141000,0,67,67,0.599426934,3.98205138,2092,39,0,1,0
121,121,3488,3139200,0,61,61,0.88962156,4.675922378,3103,45,0,22,0
122,122,3491,3141900,0,100,100,43.12059582,22.77161861,150534,101,0,95,43
123,123,3490,3141000,0,65,65,0.527793696,3.301462905,1842,31,0,13,0
124,124,3493,3143700,0,58,58,0.070140281,1.231076704,245,12,0,6,0
125,125,3492,3142800,0,100,100,10.69215349,19.73810533,37337,95,0,83,0
126,126,2404,2163600,0,100,100,16.04492512,17.96110083,38572,84,0,57,12
127,127,3448,3103200,0,96,96,35.92720418,30.76725144,123877,97,0,88,47
128,128,3491,3141900,0,100,100,17.8372959,23.39781861,62270,100,0,87,8
129,129,3490,3141000,0,82,82,3.521203438,9.129079626,12289,67,0,28,0
130,130,3491,3141900,0,100,100,25.06244629,25.55865854,87493,99,0,93,18
131,131,1888,1699200,0,99,99,1.724576271,10.51050674,3256,46,0,1,0
132,132,1888,1699200,0,99,99,1.724576271,10.51050674,3256,46,0,1,0
133,133,3486,3137400,0,79,79,0.828169822,4.938464532,2887,47,0,20,0
134,134,3491,3141900,0,82,82,0.953594958,4.454630849,3329,40,0,22,0
135,135,3488,3139200,0,100,100,35.65166284,26.12197796,124353,101,0,92,35
136,136,3493,3143700,0,98,98,1.223876324,7.925991206,4275,65,0,3,0
137,137,3489,3140100,0,100,100,8.560332473,18.40761327,29867,93,0,85,0
138,138,3489,3140100,0,100,100,0.610776727,5.220377945,2131,47,0,9,0
139,139,3491,3141900,0,100,100,17.09195073,19.09806354,59668,88,0,77,11
140,140,3491,3141900,0,100,100,17.09195073,19.09806354,59668,88,0,77,11
141,141,3491,3141900,0,100,100,17.09195073,19.09806354,59668,88,0,77,11
142,142,3490,3141000,0,99,99,5.787679083,15.17173581,20199,94,0,46,0
143,143,3492,3142800,0,100,100,30.23568156,31.78397081,105583,101,0,99,17
144,144,3493,3143700,0,100,100,17.66504437,18.73793611,61704,83,0,72,12
145,145,3493,3143700,0,100,100,17.66504437,18.73793611,61704,83,0,72,12
146,146,3492,3142800,0,100,100,5.838774341,15.31999485,20389,95,0,51,0
147,147,3489,3140100,0,100,100,5.719690456,15.15845283,19956,95,0,51,0
148,148,3493,3143700,0,100,100,3.000858861,11.08501098,10482,78,0,40,0
149,149,3487,3138300,0,100,100,3.742472039,12.93109776,13050,92,0,40,0
150,150,3490,3141000,0,84,84,2.294842407,9.009253555,8009,67,0,36,0
151,151,3490,3141000,0,100,100,3.855014327,13.02959643,13454,90,0,40,0
152,152,3490,3141000,0,100,100,2.873352436,10.80119942,10028,75,0,40,0
153,153,3493,3143700,0,100,100,3.000858861,11.08501098,10482,78,0,40,0
154,154,3490,3141000,0,100,100,3.908309456,13.12113127,13640,90,0,40,0
155,155,3485,3136500,0,100,100,3.899856528,13.14265674,13591,92,0,40,0
156,156,3490,3141000,0,100,100,2.341833811,9.321743265,8173,69,0,40,0
157,157,3490,3141000,0,100,100,2.610315186,10.32769705,9110,74,0,5,0
158,158,3487,3138300,0,100,100,2.680814454,10.45203921,9348,75,0,40,0
159,159,3493,3143700,0,100,100,3.803034641,12.95901275,13284,92,0,40,0
160,160,3490,3141000,0,100,100,2.610315186,10.32769705,9110,74,0,5,0
161,161,3486,3137400,0,100,100,2.668961561,10.48360168,9304,74,0,36,0
162,162,3483,3134700,0,100,100,40.16795866,26.71564593,139905,101,0,97,40
163,163,3483,3134700,0,100,100,40.16795866,26.71564593,139905,101,0,97,40
164,164,3492,3142800,0,84,84,2.333906071,9.1883166,8150,69,0,40,0
165,165,2745,2470500,0,100,100,12.04954463,17.19530226,33076,83,0,61,0
166,166,3490,3141000,0,100,100,2.873352436,10.80119942,10028,75,0,40,0
167,167,3483,3134700,0,100,100,40.16795866,26.71564593,139905,101,0,97,40
168,168,3486,3137400,0,100,100,2.771944923,10.68647351,9663,77,0,36,0
169,169,3494,3144600,0,0,0,0,0,0,1,0,0,0
170,170,3489,3140100,0,84,84,0.034107194,1.492979774,119,4,0,10,0
171,171,1880,1692000,0,100,100,21.31010638,25.92479106,40063,99,0,77,10
172,172,3493,3143700,0,82,82,9.498139135,14.55502052,33177,72,0,55,0
173,173,3485,3136500,0,100,100,42.35035868,20.9601878,147591,101,0,92,43
174,174,3483,3134700,0,100,100,40.16795866,26.71564593,139905,101,0,97,40
175,175,3483,3134700,0,100,100,40.16795866,26.71564593,139905,101,0,97,40
176,176,3491,3141900,0,64,64,0.635634489,4.741273009,2219,43,0,2,0
177,177,3489,3140100,0,98,98,8.949269132,23.71035948,31224,87,0,8,0
178,178,3491,3141900,0,100,100,32.01947866,27.30357403,111780,100,0,96,31
179,179,3491,3141900,0,100,100,40.22715554,31.36595641,140433,101,0,25,44
180,180,3492,3142800,0,94,94,4.139175258,13.19193018,14454,85,0,65,0
181,181,3492,3142800,0,94,94,4.139175258,13.19193018,14454,85,0,65,0
182,182,3491,3141900,0,87,87,2.805786308,10.23564135,9795,74,0,36,0
183,183,3492,3142800,0,94,94,4.139175258,13.19193018,14454,85,0,65,0
184,184,3488,3139200,0,87,87,2.948107798,10.48485703,10283,74,0,44,0
185,185,3492,3142800,0,91,91,4.760595647,13.94800788,16624,82,0,5,0
186,186,3492,3142800,0,94,94,4.139175258,13.19193018,14454,85,0,65,0
187,187,3490,3141000,0,91,91,4.391690544,13.36989261,15327,82,0,5,0
188,188,3487,3138300,0,1,1,0.000286779,0.016932136,1,2,0,1,0
189,189,3489,3140100,0,54,54,0.878188593,4.548242416,3064,43,0,35,0
190,190,3487,3138300,0,93,93,0.754516777,5.943329213,2631,49,0,2,0
191,191,3491,3141900,0,100,100,35.30535663,28.48684907,123251,101,0,94,27
192,192,3492,3142800,0,100,100,12.26861397,17.38678021,42842,95,0,56,5
193,193,3486,3137400,0,88,88,8.716580608,15.94374777,30386,85,0,50,0
194,194,3496,3146400,0,52,52,0.273741419,2.019146728,957,25,0,12,0
195,195,2992,2692800,0,99,99,18.72426471,21.65174283,56023,96,0,79,9
196,196,3490,3141000,0,67,67,0.726074499,4.91766383,2534,42,0,17,0
197,197,1807,1626300,0,100,100,14.9346984,21.23531811,26987,89,0,76,1
198,198,3486,3137400,0,100,100,3.635398738,14.86924838,12673,87,0,4,0
199,199,3490,3141000,0,67,67,0.726074499,4.91766383,2534,42,0,17,0
200,200,3490,3141000,0,67,67,0.726074499,4.91766383,2534,42,0,17,0
201,201,3490,3141000,0,67,67,0.726074499,4.91766383,2534,42,0,17,0
202,202,3494,3144600,0,0,0,0,0,0,1,0,0,0
203,203,3494,3144600,0,100,100,24.33400114,31.61880867,85023,101,0,100,2
204,204,3488,3139200,0,48,48,0.593463303,3.409693874,2070,37,0,8,0
205,205,3486,3137400,0,100,100,18.88468158,31.04479969,65832,101,0,8,0
206,206,3492,3142800,0,99,99,9.98768614,18.94444212,34877,87,0,71,0
207,207,2285,2056500,0,100,100,67.61094092,21.41255819,154491,79,0,20,70
