OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,1,4,0.000324,18.89311409,18.89311409,0,18.89311409,0,75.57245636
2,2,4,0.000324,18.89311409,19.07660103,0.183486938,18.98189497,0.066621985,75.92757988
3,3,4,0.000324,18.89311409,18.89311409,0,18.89311409,0,75.57245636
4,4,4,0.000324,18.89311409,19.07660103,0.183486938,18.98189497,0.066621985,75.92757988
5,5,3,0.000243,18.81481552,18.90083885,0.086023331,18.87216441,0.040551787,56.61649323
6,6,4,0.000324,16.39664078,16.39664078,0,16.39664078,0,65.58656311
7,7,4,0.000324,16.39664078,16.39664078,0,16.39664078,0,65.58656311
8,8,4,0.000324,19.30921555,19.78846169,0.47924614,19.42902708,0.207519666,77.71610832
9,9,3,0.000243,19.20920181,19.20920181,0,19.20920181,0,57.62760544
10,10,1,0.000081,20.95640755,20.95640755,0,20.95640755,0,20.95640755
11,11,2,0.000162,18.37398338,18.52120209,0.147218704,18.44759274,0.073609352,36.89518547
12,12,4,0.000324,18.89311409,19.07660103,0.183486938,18.98189497,0.066621985,75.92757988
13,13,4,0.000324,18.40661812,18.58960533,0.182987213,18.49811172,0.091493607,73.9924469
14,14,4,0.000324,16.39664078,16.39664078,0,16.39664078,0,65.58656311
15,15,4,0.000324,18.49505615,19.13855743,0.643501282,18.80574894,0.229278298,75.22299576
16,16,4,0.000324,19.47688866,19.47688866,0,19.47688866,0,77.90755463
17,17,3,0.000243,18.99996948,18.99996948,0,18.99996948,0,56.99990845
18,18,4,0.000324,18.37398338,18.58960533,0.215621948,18.47285223,0.086791419,73.89140892
19,19,3,0.000243,18.37398338,18.52120209,0.147218704,18.47212919,0.069399563,55.41638756
20,20,4,0.000324,16.51434517,16.51434517,0,16.51434517,0,66.05738068
21,21,3,0.000243,19.29001999,19.47688866,0.186868668,19.35230954,0.088090735,58.05692863
22,22,4,0.000324,18.89311409,18.99996948,0.106855392,18.94654179,0.053427696,75.78616714
23,23,3,0.000243,19.07660103,19.07660103,0,19.07660103,0,57.22980309
24,24,4,0.000324,18.37398338,18.52120209,0.147218704,18.44759274,0.073609352,73.79037094
25,25,3,0.000243,19.17515564,19.17515564,0,19.17515564,0,57.52546692
26,26,4,0.000324,19.8524189,19.8524189,0,19.8524189,0,79.4096756
27,27,3,0.000243,18.45884132,18.45884132,0,18.45884132,0,55.37652397
28,28,3,0.000243,18.62174225,18.708498,0.086755753,18.65066083,0.040897054,55.9519825
29,29,4,0.000324,18.89311409,19.07660103,0.183486938,18.98189497,0.066621985,75.92757988
30,30,3,0.000243,18.99996948,18.99996948,0,18.99996948,0,56.99990845
31,31,3,0.000243,16.8281002,16.8281002,0,16.8281002,0,50.48430061
32,32,3,0.000243,19.20920181,19.20920181,0,19.20920181,0,57.62760544
33,33,3,0.000243,14.43081188,14.43081188,0,14.43081188,0,43.29243565
34,34,4,0.000324,9.471115112,9.471115112,0,9.471115112,0,37.88446045
35,35,4,0.000324,15.30043793,15.4124794,0.112041473,15.35645866,0.056020737,61.42583466
36,36,4,0.000324,10.71108341,11.02637959,0.315296173,10.84122252,0.120662294,43.3648901
37,37,2,0.000162,18.99996948,18.99996948,0,18.99996948,0,37.99993896
38,38,3,0.000243,14.44006348,14.45924664,0.019183159,14.45285225,0.009043028,43.35855675
39,39,4,0.000324,8.946833611,9.023444176,0.076610565,8.965986252,0.033173348,35.86394501
40,40,4,0.000324,18.89311409,18.99996948,0.106855392,18.94654179,0.053427696,75.78616714
41,41,4,0.000324,16.23086357,16.23425674,0.003393173,16.23256016,0.001696587,64.93024063
42,42,4,0.000324,18.89311409,19.07660103,0.183486938,18.98189497,0.066621985,75.92757988
43,43,3,0.000243,12.06967258,12.13836765,0.068695068,12.1154693,0.032383166,36.34640789
44,44,4,0.000324,14.38256741,14.55214596,0.169578552,14.50975132,0.073429667,58.03900528
45,45,3,0.000243,14.48855877,14.48855877,0,14.48855877,0,43.46567631
46,46,4,0.000324,16.23086357,16.23086357,0,16.23086357,0,64.92345428
47,47,3,0.000243,12.01192474,12.01192474,0,12.01192474,0,36.03577423
48,48,4,0.000324,16.23086357,16.23425674,0.003393173,16.23256016,0.001696587,64.93024063
49,49,4,0.000324,18.89311409,19.07660103,0.183486938,18.98189497,0.066621985,75.92757988
50,50,4,0.000324,10.29373264,10.29373264,0,10.29373264,0,41.17493057
51,51,3,0.000243,18.38163185,18.54003525,0.158403397,18.43443298,0.074672077,55.30329895
