OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,1,4,0.000324,24.63334274,24.63334274,0,24.63334274,0,98.53337097
2,2,4,0.000324,24.63334274,24.76675606,0.133413315,24.70704699,0.049729529,98.82818794
3,3,4,0.000324,24.63334274,24.63334274,0,24.63334274,0,98.53337097
4,4,4,0.000324,24.63334274,24.76675606,0.133413315,24.70704699,0.049729529,98.82818794
5,5,3,0.000243,24.58962059,24.68078041,0.091159821,24.6503938,0.042973152,73.95118141
6,6,4,0.000324,23.88525963,23.88525963,0,23.88525963,0,95.54103851
7,7,4,0.000324,23.88525963,23.88525963,0,23.88525963,0,95.54103851
8,8,4,0.000324,25.06091309,25.34487915,0.283966064,25.1319046,0.122960913,100.5276184
9,9,3,0.000243,24.89862823,24.89862823,0,24.89862823,0,74.6958847
10,10,1,0.000081,25.92473984,25.92473984,0,25.92473984,0,25.92473984
11,11,2,0.000162,24.35470581,24.39004517,0.035339355,24.37237549,0.017669678,48.74475098
12,12,4,0.000324,24.63334274,24.76675606,0.133413315,24.70704699,0.049729529,98.82818794
13,13,4,0.000324,24.37994957,24.45963669,0.079687119,24.41979313,0.039843559,97.67917252
14,14,4,0.000324,23.88525963,23.88525963,0,23.88525963,0,95.54103851
15,15,4,0.000324,24.56464958,24.95542717,0.390777588,24.76012516,0.147657827,99.04050064
16,16,4,0.000324,25.05509949,25.05509949,0,25.05509949,0,100.2203979
17,17,3,0.000243,24.69408607,24.69408607,0,24.69408607,0,74.08225822
18,18,4,0.000324,24.35470581,24.45963669,0.104930878,24.39608431,0.038884078,97.58433723
19,19,3,0.000243,24.35470581,24.39004517,0.035339355,24.37826538,0.016659132,73.13479614
20,20,4,0.000324,23.97288704,23.97288704,0,23.97288704,0,95.89154816
21,21,3,0.000243,25.04156494,25.05509949,0.013534546,25.04607646,0.006380246,75.13822937
22,22,4,0.000324,24.63334274,24.69408607,0.060743332,24.66371441,0.030371666,98.65485764
23,23,3,0.000243,24.76675606,24.76675606,0,24.76675606,0,74.30026817
24,24,4,0.000324,24.35470581,24.39004517,0.035339355,24.37237549,0.017669678,97.48950195
25,25,3,0.000243,25.00403023,25.00403023,0,25.00403023,0,75.01209068
26,26,4,0.000324,25.12630081,25.12630081,0,25.12630081,0,100.5052032
27,27,3,0.000243,24.32966995,24.32966995,0,24.32966995,0,72.98900986
28,28,3,0.000243,24.43312263,24.47315598,0.04003334,24.44646708,0.018871898,73.33940125
29,29,4,0.000324,24.63334274,24.76675606,0.133413315,24.70704699,0.049729529,98.82818794
30,30,3,0.000243,24.69408607,24.69408607,0,24.69408607,0,74.08225822
31,31,3,0.000243,24.03541756,24.03541756,0,24.03541756,0,72.10625267
32,32,3,0.000243,24.89862823,24.89862823,0,24.89862823,0,74.6958847
33,33,3,0.000243,22.44388199,22.44388199,0,22.44388199,0,67.33164597
34,34,4,0.000324,23.08601761,23.08601761,0,23.08601761,0,92.34407043
35,35,4,0.000324,22.8276329,22.89706421,0.069431305,22.86234856,0.034715652,91.44939423
36,36,4,0.000324,22.59392929,22.71108627,0.117156982,22.63849878,0.043726471,90.55399513
37,37,2,0.000162,24.69408607,24.69408607,0,24.69408607,0,49.38817215
38,38,3,0.000243,23.17915726,23.195755,0.016597748,23.19022242,0.007824253,69.57066727
39,39,4,0.000324,23.55914497,23.64471436,0.085569382,23.58053732,0.037052629,94.32214928
40,40,4,0.000324,24.63334274,24.69408607,0.060743332,24.66371441,0.030371666,98.65485764
41,41,4,0.000324,23.65181541,23.65522575,0.003410339,23.65352058,0.00170517,94.61408234
42,42,4,0.000324,24.63334274,24.76675606,0.133413315,24.70704699,0.049729529,98.82818794
43,43,3,0.000243,22.70583534,22.78855324,0.082717896,22.76098061,0.03899359,68.28294182
44,44,4,0.000324,23.55813026,23.57397652,0.015846252,23.57001495,0.006861629,94.28005981
45,45,3,0.000243,23.21392441,23.21392441,0,23.21392441,0,69.64177322
46,46,4,0.000324,23.65181541,23.65181541,0,23.65181541,0,94.60726166
47,47,3,0.000243,24.61590195,24.61590195,0,24.61590195,0,73.84770584
48,48,4,0.000324,23.65181541,23.65522575,0.003410339,23.65352058,0.00170517,94.61408234
49,49,4,0.000324,24.63334274,24.76675606,0.133413315,24.70704699,0.049729529,98.82818794
50,50,4,0.000324,22.72476196,22.72476196,0,22.72476196,0,90.89904785
51,51,3,0.000243,24.43009567,24.51232338,0.082227707,24.45750491,0.038762513,73.37251472
52,52,3,0.000243,22.79251671,22.79251671,0,22.79251671,0,68.37755013
53,53,4,0.000324,25.35799789,25.35799789,0,25.35799789,0,101.4319916
54,54,3,0.000243,24.43009567,24.43009567,0,24.43009567,0,73.29028702
55,55,4,0.000324,22.44737816,22.48466301,0.037284851,22.46602058,0.018642426,89.86408234
56,56,3,0.000243,22.55923462,22.55923462,0,22.55923462,0,67.67770386
57,57,4,0.000324,22.72938347,22.79251671,0.06313324,22.76095009,0.03156662,91.04380035
58,58,3,0.000243,24.69408607,24.69408607,0,24.69408607,0,74.08225822
59,59,4,0.000324,22.72938347,22.79251671,0.06313324,22.76095009,0.03156662,91.04380035
60,60,3,0.000243,23.97553825,23.97553825,0,23.97553825,0,71.92661476
61,61,3,0.000243,23.66566467,23.79297447,0.127309799,23.70810127,0.060014415,71.12430382
