OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,26,1,0.001736111,127.1998672,127.1998672,0,127.1998672,0,127.1998672
2,33,1,0.001736111,129.8748169,129.8748169,0,129.8748169,0,129.8748169
3,54,1,0.001736111,136.032074,136.032074,0,136.032074,0,136.032074
4,65,1,0.001736111,132.0487823,132.0487823,0,132.0487823,0,132.0487823
5,66,1,0.001736111,126.2354431,126.2354431,0,126.2354431,0,126.2354431
6,76,1,0.001736111,146.1531219,146.1531219,0,146.1531219,0,146.1531219
7,98,1,0.001736111,141.6886444,141.6886444,0,141.6886444,0,141.6886444
8,100,1,0.001736111,189.5432129,189.5432129,0,189.5432129,0,189.5432129
9,112,1,0.001736111,132.0487823,132.0487823,0,132.0487823,0,132.0487823
10,113,1,0.001736111,124.6287003,124.6287003,0,124.6287003,0,124.6287003
11,114,1,0.001736111,132.0487823,132.0487823,0,132.0487823,0,132.0487823
12,115,1,0.001736111,132.0487823,132.0487823,0,132.0487823,0,132.0487823
13,116,1,0.001736111,132.0487823,132.0487823,0,132.0487823,0,132.0487823
14,117,1,0.001736111,132.0487823,132.0487823,0,132.0487823,0,132.0487823
15,124,1,0.001736111,147.9992218,147.9992218,0,147.9992218,0,147.9992218
16,129,1,0.001736111,132.4055634,132.4055634,0,132.4055634,0,132.4055634
17,130,1,0.001736111,149.7229767,149.7229767,0,149.7229767,0,149.7229767
18,139,1,0.001736111,147.3303375,147.3303375,0,147.3303375,0,147.3303375
19,140,1,0.001736111,147.3303375,147.3303375,0,147.3303375,0,147.3303375
20,141,1,0.001736111,147.3303375,147.3303375,0,147.3303375,0,147.3303375
21,178,1,0.001736111,123.5136719,123.5136719,0,123.5136719,0,123.5136719
22,190,1,0.001736111,131.0093536,131.0093536,0,131.0093536,0,131.0093536
23,191,1,0.001736111,145.4257965,145.4257965,0,145.4257965,0,145.4257965
24,206,1,0.001736111,147.4764709,147.4764709,0,147.4764709,0,147.4764709
25,212,1,0.001736111,138.3491669,138.3491669,0,138.3491669,0,138.3491669
26,213,1,0.001736111,138.5245209,138.5245209,0,138.5245209,0,138.5245209
27,216,1,0.001736111,158.7574158,158.7574158,0,158.7574158,0,158.7574158
28,219,1,0.001736111,150.2237244,150.2237244,0,150.2237244,0,150.2237244
29,227,1,0.001736111,144.5953217,144.5953217,0,144.5953217,0,144.5953217
30,229,1,0.001736111,147.3303375,147.3303375,0,147.3303375,0,147.3303375
31,230,1,0.001736111,117.3744583,117.3744583,0,117.3744583,0,117.3744583
32,241,1,0.001736111,138.3491669,138.3491669,0,138.3491669,0,138.3491669
33,243,1,0.001736111,131.0093536,131.0093536,0,131.0093536,0,131.0093536
34,244,1,0.001736111,131.0093536,131.0093536,0,131.0093536,0,131.0093536
35,248,1,0.001736111,183.6401825,183.6401825,0,183.6401825,0,183.6401825
36,256,1,0.001736111,181.5202789,181.5202789,0,181.5202789,0,181.5202789
37,259,1,0.001736111,169.0977631,169.0977631,0,169.0977631,0,169.0977631
38,260,1,0.001736111,182.0316315,182.0316315,0,182.0316315,0,182.0316315
39,270,1,0.001736111,187.5978241,187.5978241,0,187.5978241,0,187.5978241
40,272,1,0.001736111,135.9092865,135.9092865,0,135.9092865,0,135.9092865
41,275,1,0.001736111,132.7086029,132.7086029,0,132.7086029,0,132.7086029
42,278,1,0.001736111,134.7756042,134.7756042,0,134.7756042,0,134.7756042
43,298,1,0.001736111,118.4309845,118.4309845,0,118.4309845,0,118.4309845
44,304,1,0.001736111,131.2866364,131.2866364,0,131.2866364,0,131.2866364
45,312,1,0.001736111,127.8058548,127.8058548,0,127.8058548,0,127.8058548
46,313,1,0.001736111,163.4343414,163.4343414,0,163.4343414,0,163.4343414
47,321,1,0.001736111,141.6886444,141.6886444,0,141.6886444,0,141.6886444
48,326,1,0.001736111,141.6886444,141.6886444,0,141.6886444,0,141.6886444
49,331,1,0.001736111,131.0093536,131.0093536,0,131.0093536,0,131.0093536
50,332,1,0.001736111,145.0894775,145.0894775,0,145.0894775,0,145.0894775
51,334,1,0.001736111,144.9293823,144.9293823,0,144.9293823,0,144.9293823
52,346,1,0.001736111,181.3191223,181.3191223,0,181.3191223,0,181.3191223
53,349,1,0.001736111,159.2903137,159.2903137,0,159.2903137,0,159.2903137
54,360,1,0.001736111,131.1344604,131.1344604,0,131.1344604,0,131.1344604
55,363,1,0.001736111,160.7070923,160.7070923,0,160.7070923,0,160.7070923
56,365,1,0.001736111,144.1183777,144.1183777,0,144.1183777,0,144.1183777
57,370,1,0.001736111,125.7515335,125.7515335,0,125.7515335,0,125.7515335
58,378,1,0.001736111,144.1183777,144.1183777,0,144.1183777,0,144.1183777
59,390,1,0.001736111,141.6886444,141.6886444,0,141.6886444,0,141.6886444
60,402,1,0.001736111,136.2521057,136.2521057,0,136.2521057,0,136.2521057
61,406,1,0.001736111,124.6109848,124.6109848,0,124.6109848,0,124.6109848
62,415,1,0.001736111,191.4566803,191.4566803,0,191.4566803,0,191.4566803
63,417,1,0.001736111,124.6109848,124.6109848,0,124.6109848,0,124.6109848
64,419,1,0.001736111,147.3303375,147.3303375,0,147.3303375,0,147.3303375
65,422,1,0.001736111,182.34021,182.34021,0,182.34021,0,182.34021
66,429,1,0.001736111,138.3491669,138.3491669,0,138.3491669,0,138.3491669
67,430,1,0.001736111,156.2374573,156.2374573,0,156.2374573,0,156.2374573
68,452,1,0.001736111,146.3890533,146.3890533,0,146.3890533,0,146.3890533
69,509,1,0.001736111,131.1344604,131.1344604,0,131.1344604,0,131.1344604
70,514,1,0.001736111,109.9053879,109.9053879,0,109.9053879,0,109.9053879
71,528,1,0.001736111,138.3491669,138.3491669,0,138.3491669,0,138.3491669
72,541,1,0.001736111,169.0823822,169.0823822,0,169.0823822,0,169.0823822
73,555,1,0.001736111,145.4257965,145.4257965,0,145.4257965,0,145.4257965
74,563,1,0.001736111,124.6275482,124.6275482,0,124.6275482,0,124.6275482
75,567,1,0.001736111,140.902298,140.902298,0,140.902298,0,140.902298
76,572,1,0.001736111,125.7515335,125.7515335,0,125.7515335,0,125.7515335
77,577,1,0.001736111,120.3860855,120.3860855,0,120.3860855,0,120.3860855
78,580,1,0.001736111,116.1903763,116.1903763,0,116.1903763,0,116.1903763
79,603,1,0.001736111,151.7120361,151.7120361,0,151.7120361,0,151.7120361
80,620,1,0.001736111,106.7830734,106.7830734,0,106.7830734,0,106.7830734
81,630,1,0.001736111,104.4057388,104.4057388,0,104.4057388,0,104.4057388
82,652,1,0.001736111,138.3491669,138.3491669,0,138.3491669,0,138.3491669
83,673,1,0.001736111,135.383255,135.383255,0,135.383255,0,135.383255
84,676,1,0.001736111,108.4565582,108.4565582,0,108.4565582,0,108.4565582
85,680,1,0.001736111,127.8085709,127.8085709,0,127.8085709,0,127.8085709
86,692,1,0.001736111,139.3138885,139.3138885,0,139.3138885,0,139.3138885
87,693,1,0.001736111,109.3103714,109.3103714,0,109.3103714,0,109.3103714
88,714,1,0.001736111,183.8375244,183.8375244,0,183.8375244,0,183.8375244
89,718,1,0.001736111,180.9921875,180.9921875,0,180.9921875,0,180.9921875
90,719,1,0.001736111,189.5754852,189.5754852,0,189.5754852,0,189.5754852
91,726,1,0.001736111,174.5237732,174.5237732,0,174.5237732,0,174.5237732
92,729,1,0.001736111,135.3391876,135.3391876,0,135.3391876,0,135.3391876
93,733,1,0.001736111,135.383255,135.383255,0,135.383255,0,135.383255
94,739,1,0.001736111,122.8374939,122.8374939,0,122.8374939,0,122.8374939
95,754,1,0.001736111,136.6531677,136.6531677,0,136.6531677,0,136.6531677
96,759,1,0.001736111,117.1233902,117.1233902,0,117.1233902,0,117.1233902
97,774,1,0.001736111,133.5376129,133.5376129,0,133.5376129,0,133.5376129
98,790,1,0.001736111,136.6531677,136.6531677,0,136.6531677,0,136.6531677
99,800,1,0.001736111,138.3491669,138.3491669,0,138.3491669,0,138.3491669
100,801,1,0.001736111,124.8756256,124.8756256,0,124.8756256,0,124.8756256
101,803,1,0.001736111,159.4122314,159.4122314,0,159.4122314,0,159.4122314
102,818,1,0.001736111,127.5578842,127.5578842,0,127.5578842,0,127.5578842
103,822,1,0.001736111,131.0093536,131.0093536,0,131.0093536,0,131.0093536
104,829,1,0.001736111,135.9060059,135.9060059,0,135.9060059,0,135.9060059
105,864,1,0.001736111,144.5953217,144.5953217,0,144.5953217,0,144.5953217
106,873,1,0.001736111,132.7086029,132.7086029,0,132.7086029,0,132.7086029
107,883,1,0.001736111,181.3191223,181.3191223,0,181.3191223,0,181.3191223
108,885,1,0.001736111,171.3727875,171.3727875,0,171.3727875,0,171.3727875
109,887,1,0.001736111,117.0855331,117.0855331,0,117.0855331,0,117.0855331
110,893,1,0.001736111,148.0511017,148.0511017,0,148.0511017,0,148.0511017
111,894,1,0.001736111,129.8617401,129.8617401,0,129.8617401,0,129.8617401
112,897,1,0.001736111,168.2229156,168.2229156,0,168.2229156,0,168.2229156
113,906,1,0.001736111,119.726265,119.726265,0,119.726265,0,119.726265
