"","gbifID","class","order","family","genus","species","stateProvince","decimalLatitude","decimalLongitude","day","month","year"
"4229",1324139379,"Reptilia","Squamata","Corytophanidae","Basiliscus","Basiliscus vittatus","Florida",25.88609,-80.27899,4,8,2010
"4230",1324189121,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.76623,-80.67387,11,7,2014
"4231",1324189481,"Reptilia","Testudines","Trionychidae","Apalone","Apalone ferox","Florida",30.326677,-82.760333,23,3,2012
"4232",1324192339,"Reptilia","Squamata","Colubridae","Heterodon","Heterodon platirhinos","Florida",30.001061,-82.998412,8,10,2016
"4233",1324191304,"Amphibia","Anura","Hylidae","Osteopilus","Osteopilus septentrionalis","Florida",25.9514,-81.36035,30,12,2013
"4234",1324189334,"Reptilia","Squamata","Rhineuridae","Rhineura","Rhineura floridana","Florida",30.285331,-83.255416,7,10,2014
"4235",1324191344,"Amphibia","Anura","Hylidae","Osteopilus","Osteopilus septentrionalis","Florida",25.9514,-81.36035,18,11,2011
"4236",1324190079,"Reptilia","Squamata","Leiocephalidae","Leiocephalus","Leiocephalus carinatus","Florida",25.159065,-80.389845,6,5,2015
"4237",1324139136,"Reptilia","Squamata","Colubridae","Cemophora","Cemophora coccinea","Florida",30.0214,-81.336,23,3,2010
"4238",1585354861,"Reptilia","Squamata","Polychrotidae","Polychrus","Polychrus marmoratus","Florida",26.04591,-80.21976,8,3,2016
"4239",1324192243,"Reptilia","Squamata","Colubridae","Nerodia","Nerodia taxispilota","Florida",29.401849,-83.154936,31,8,2016
"4240",1324151300,"Reptilia","Squamata","Colubridae","Nerodia","Nerodia sipedon","Florida",30.5931,-86.2164,10,5,2013
"4241",1837124947,"Amphibia","Anura","Hylidae","Dryophytes","Dryophytes cinereus","Florida",30.35111,-82.00936,29,5,2012
"4242",1324148089,"Amphibia","Anura","Microhylidae","Gastrophryne","Gastrophryne carolinensis","Florida",24.69474,-81.37981,19,2,2010
"4243",1324147827,"Reptilia","Squamata","Varanidae","Varanus","Varanus niloticus","Florida",26.67708,-80.16569,12,1,2012
