OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
69,69,4391,3951900,0,96,96,8.902755637,20.28761244,39092,80,0,7,0
70,70,4714,4242600,0,96,96,31.45842172,34.00869748,148295,84,0,14,20
71,71,4390,3951000,0,96,96,8.218451025,19.70169046,36079,80,0,7,0
72,72,4326,3893400,0,77,77,3.089921405,10.06894886,13367,49,0,10,0
73,73,4312,3880800,0,77,77,3.333487941,10.20522762,14374,47,0,10,0
74,74,4318,3886200,0,77,77,2.970125058,9.983417772,12825,50,0,4,0
75,75,4312,3880800,0,77,77,3.333487941,10.20522762,14374,47,0,10,0
76,76,4310,3879000,0,95,95,20.82180974,30.23917478,89742,83,0,12,0
77,77,4571,4113900,0,91,91,19.08116386,26.77156862,87220,87,0,6,0
78,78,4318,3886200,0,91,91,1.868226031,9.886057907,8067,56,0,17,0
79,79,4325,3892500,0,91,91,1.914219653,9.937692309,8279,55,0,17,0
80,80,4315,3883500,0,91,91,1.918655852,9.948773173,8279,55,0,17,0
81,81,3091,2781900,0,92,92,27.59818829,28.53249352,85306,79,0,14,22
82,82,4315,3883500,0,91,91,1.918655852,9.948773173,8279,55,0,17,0
83,83,4720,4248000,0,98,98,45.27457627,40.72006582,213696,85,0,29,62
84,84,4720,4248000,0,98,98,45.27457627,40.72006582,213696,85,0,29,62
85,85,4720,4248000,0,98,98,45.27457627,40.72006582,213696,85,0,29,62
86,86,4430,3987000,0,71,71,1.89503386,5.335984379,8395,40,0,15,0
87,87,4430,3987000,0,71,71,1.89503386,5.335984379,8395,40,0,15,0
88,88,4720,4248000,0,98,98,45.27457627,40.72006582,213696,85,0,29,62
89,89,4720,4248000,0,98,98,45.27457627,40.72006582,213696,85,0,29,62
90,90,555,499500,0,84,84,2.299099099,11.19784001,1276,16,0,28,0
91,91,4720,4248000,0,98,98,45.27457627,40.72006582,213696,85,0,29,62
92,92,4720,4248000,0,98,98,45.27457627,40.72006582,213696,85,0,29,62
93,93,4720,4248000,0,98,98,45.27457627,40.72006582,213696,85,0,29,62
94,94,4720,4248000,0,98,98,45.27457627,40.72006582,213696,85,0,29,62
95,95,4649,4184100,0,98,98,37.90019359,33.23008718,176198,91,0,9,41
96,96,555,499500,0,84,84,2.299099099,11.19784001,1276,16,0,28,0
97,97,4720,4248000,0,98,98,45.27457627,40.72006582,213696,85,0,29,62
98,98,4309,3878100,0,96,96,3.81387793,13.34394891,16434,74,0,52,0
99,99,4557,4101300,0,100,100,53.10226026,36.80806324,241987,91,0,100,67
100,100,4367,3930300,0,89,89,8.758186398,12.8031962,38247,79,0,50,0
101,101,4306,3875400,0,93,93,14.02415235,28.62031622,60388,76,0,11,0
102,102,2532,2278800,0,85,85,1.748420221,10.04501605,4427,41,0,17,0
103,103,4640,4176000,0,100,100,57.35452586,30.4191332,266125,91,0,31,62
104,104,4540,4086000,0,94,94,14.92951542,26.94994318,67780,90,0,8,0
105,105,4540,4086000,0,94,94,14.92951542,26.94994318,67780,90,0,8,0
106,106,4540,4086000,0,94,94,14.92951542,26.94994318,67780,90,0,8,0
107,107,4540,4086000,0,94,94,14.92951542,26.94994318,67780,90,0,8,0
108,108,4540,4086000,0,94,94,14.92951542,26.94994318,67780,90,0,8,0
109,109,4540,4086000,0,94,94,14.92951542,26.94994318,67780,90,0,8,0
110,110,4432,3988800,0,71,71,1.872969314,5.443910786,8301,39,0,15,0
111,111,4430,3987000,0,71,71,1.89503386,5.335984379,8395,40,0,15,0
112,112,4401,3960900,0,94,94,18.43172006,22.18298717,81118,89,0,5,13
113,113,4409,3968100,0,93,93,37.37831708,31.83890389,164801,88,0,7,34
114,114,4401,3960900,0,94,94,18.43172006,22.18298717,81118,89,0,5,13
115,115,4401,3960900,0,94,94,18.43172006,22.18298717,81118,89,0,5,13
116,116,4401,3960900,0,94,94,18.43172006,22.18298717,81118,89,0,5,13
117,117,4401,3960900,0,94,94,18.43172006,22.18298717,81118,89,0,5,13
118,118,4377,3939300,0,94,94,5.269819511,15.0024927,23066,79,0,7,0
119,119,916,824400,0,31,31,0.388646288,2.802767254,356,12,0,8,0
120,120,4685,4216500,0,100,100,71.9547492,21.52033813,337108,81,74,34,76
121,121,4691,4221900,0,100,100,61.85653379,31.67023396,290169,84,0,26,73
122,122,4322,3889800,0,84,84,1.986348913,6.018216112,8585,43,0,30,0
123,123,4704,4233600,0,100,100,51.06632653,35.99308827,240216,87,0,15,60
124,124,4634,4170600,0,100,100,42.49093656,31.87755802,196903,92,0,12,32
125,125,4633,4169700,0,100,100,59.94603928,34.51913357,277730,93,0,9,68
126,126,2970,2673000,0,96,96,37.96430976,32.83635692,112754,91,0,47,21
127,127,4454,4008600,0,96,96,23.89627301,32.34236087,106434,94,0,4,0
128,128,4640,4176000,0,100,100,57.35452586,30.4191332,266125,91,0,31,62
129,129,4586,4127400,0,94,94,37.76384649,30.95593299,173185,88,0,9,36
130,130,4637,4173300,0,100,100,36.03191719,34.05583865,167080,93,0,9,35
131,131,2532,2278800,0,85,85,1.748420221,10.04501605,4427,41,0,17,0
132,132,2532,2278800,0,85,85,1.748420221,10.04501605,4427,41,0,17,0
133,133,4544,4089600,0,99,99,50.8474912,35.98593509,231051,91,0,11,60
134,134,4635,4171500,0,100,100,59.38468177,33.89522887,275248,93,0,9,69
135,135,4635,4171500,0,100,100,24.2806904,30.60975379,112541,92,0,100,10
136,136,4573,4115700,0,99,99,63.90662585,29.58040679,292245,90,0,10,75
137,137,4638,4174200,0,100,100,74.72552824,31.45525854,346577,92,99,9,91
138,138,4645,4180500,0,100,100,79.97416577,27.95485712,371480,91,99,10,95
139,139,4642,4177800,0,100,100,54.14433434,28.72673289,251338,92,0,29,57
140,140,4642,4177800,0,100,100,54.14433434,28.72673289,251338,92,0,29,57
141,141,4642,4177800,0,100,100,54.14433434,28.72673289,251338,92,0,29,57
142,142,4638,4174200,0,100,100,51.47951703,38.15231145,238762,93,0,9,62
143,143,4628,4165200,0,100,100,40.16508211,36.87456804,185884,92,0,29,40
144,144,4639,4175100,0,100,100,50.59172235,30.94314238,234695,91,0,27,52
145,145,4639,4175100,0,100,100,50.59172235,30.94314238,234695,91,0,27,52
146,146,4298,3868200,0,97,97,8.91251745,21.14190739,38306,87,0,5,0
147,147,4299,3869100,0,97,97,9.040241917,21.27975819,38864,87,0,5,0
148,148,4294,3864600,0,80,80,4.526781556,14.43978245,19438,57,0,5,0
149,149,4305,3874500,0,95,95,8.529616725,19.26204451,36720,77,0,9,0
150,150,4298,3868200,0,80,80,4.481386691,14.29509357,19261,52,0,5,0
151,151,4307,3876300,0,95,95,9.448339912,20.29069708,40694,78,0,48,0
152,152,4295,3865500,0,80,80,4.605587893,14.52754492,19781,57,0,5,0
153,153,4294,3864600,0,80,80,4.526781556,14.43978245,19438,57,0,5,0
154,154,4288,3859200,0,95,95,9.512826493,20.35292215,40791,79,0,10,0
155,155,4305,3874500,0,95,95,8.743089431,19.52829245,37639,77,0,48,0
