OBJECTID,gbifID,Shape_Length,Shape_Area
167,1324144576,0.059784378,0.000283306
168,1324144577,0.059621463,0.000281873
169,1324145012,0.059917142,0.000284471
170,1324145141,0.059635998,0.000282001
171,1324145365,0.052000731,0.000154516
172,1324145737,0.060629752,0.000290708
173,1324145745,0.059660609,0.000282217
174,1324145752,0.059784378,0.000283306
175,1324145767,0.059784378,0.000283306
176,1324145839,0.059708595,0.000282639
177,1324145842,0.059699434,0.000282559
178,1324145938,0.05977929,0.000283261
179,1324146107,0.0597728,0.000283204
180,1324146554,0.059620301,0.000281863
181,1324146573,0.059620301,0.000281863
182,1324146576,0.05962067,0.000281866
183,1324146578,0.059620301,0.000281863
184,1324146585,0.059620569,0.000281865
185,1324146588,0.059620377,0.000281863
186,1324146592,0.059620301,0.000281863
187,1324146594,0.059620371,0.000281863
188,1324146747,0.05962452,0.0002819
189,1324146758,0.060670541,0.000291063
190,1324146766,0.059610629,0.000281778
191,1324146777,0.060854909,0.000292671
192,1324146781,0.060864016,0.00029275
193,1324146788,0.060867275,0.000292778
194,1324146790,0.060958654,0.000293574
195,1324146795,0.085508703,0.000251609
196,1324146799,0.059670416,0.000282304
197,1324146800,0.064488712,0.000144966
198,1324146801,0.059711973,0.000282669
199,1324146805,0.059670416,0.000282304
200,1324146808,0.059670416,0.000282304
201,1324146810,0.059670416,0.000282304
202,1324146811,0.060354537,0.000288303
203,1324146816,0.060443442,0.000289081
204,1324146820,0.061084399,0.000294668
205,1324146825,0.059708477,0.000282638
206,1324146828,0.060882603,0.000292912
207,1324146830,0.088910073,0.000183495
208,1324146838,0.060749223,0.00029175
209,1324146839,0.059872323,0.000284078
210,1324146844,0.032420606,3.6755E-05
211,1324146846,0.032420606,3.6755E-05
212,1324146847,0.059624733,0.000281902
213,1324146848,0.060963311,0.000293614
214,1324146850,0.032420606,3.6755E-05
215,1324146851,0.060855633,0.000292677
216,1324146852,0.072194631,0.000242777
217,1324146854,0.032420606,3.6755E-05
218,1324146855,0.061726523,0.000142623
219,1324146858,0.060812697,0.000292303
220,1324146863,0.061687825,0.000276213
221,1324146865,0.06084732,0.000292604
222,1324146866,0.059784668,0.000283308
223,1324146867,0.061687825,0.000276213
224,1324146871,0.059613731,0.000281805
225,1324146872,0.061687825,0.000276213
226,1324146874,0.060273168,0.000287592
227,1324146875,0.0782915,0.000135187
228,1324146876,0.055923681,0.000137259
229,1324146878,0.060870444,0.000292806
230,1324146880,0.060510744,0.000289669
231,1324146888,0.059619901,0.000281859
232,1324146889,0.059614603,0.000281813
233,1324146890,0.060413548,0.000275327
234,1324146891,0.060098323,0.00028606
235,1324146892,0.060031606,0.000285476
236,1324146895,0.059799534,0.000283439
237,1324146897,0.059649349,0.000282118
238,1324146898,0.059708545,0.000282639
239,1324146899,0.099894617,0.00010683
240,1324146900,0.05949963,0.000247391
241,1324146901,0.05962228,0.00028188
242,1324146902,0.054900704,0.000129534
243,1324146904,0.059613313,0.000281801
244,1324146906,0.059613471,0.000281803
245,1324146907,0.059792015,0.000283373
246,1324146908,0.060034988,0.000285505
247,1324146909,0.060289123,0.000287731
248,1324146912,0.059934632,0.000284625
249,1324146913,0.060262238,0.000287496
250,1324146915,0.060031643,0.000285476
251,1324146916,0.059828101,0.00028369
252,1324146917,0.056617789,0.000192884
253,1324146919,0.061119055,0.000294969
254,1324146921,0.060066017,0.000285777
255,1324146922,0.059585109,0.000281553
256,1324146923,0.05980177,0.000283458
257,1324146925,0.059863901,0.000284004
258,1324146926,0.060098323,0.00028606
259,1324146927,0.060125827,0.000286301
260,1324146928,0.059880676,0.000284151
261,1324146929,0.059952961,0.000284786
262,1324146930,0.059907652,0.000284388
263,1324146932,0.060093695,0.00028602
264,1324146934,0.059872465,0.000284079
265,1324146936,0.059645644,0.000282086
266,1324146937,0.06049814,0.000289559
267,1324146940,0.059957603,0.000284826
268,1324146941,0.059865805,0.000284021
269,1324146942,0.059955327,0.000284806
270,1324146944,0.059824562,0.000283659
271,1324146945,0.060059451,0.00028572
272,1324146948,0.059635717,0.000281998
273,1324146949,0.059784378,0.000283306
274,1324146952,0.059904706,0.000284362
275,1324146955,0.060599141,0.00029044
276,1324146958,0.059915683,0.000284459
277,1324146959,0.059934562,0.000284624
278,1324146960,0.063658231,0.000276936
279,1324146961,0.060880245,0.000292891
280,1324146962,0.059957375,0.000284824
281,1324146963,0.059708603,0.000282639
282,1324146964,0.059957547,0.000284826
283,1324146965,0.059897299,0.000284297
284,1324146967,0.060376877,0.000288499
285,1324146968,0.059778443,0.000283253
286,1324146970,0.060336217,0.000288143
287,1324146972,0.059784378,0.000283306
288,1324146973,0.059805378,0.00028349
289,1324146976,0.078980965,0.000127167
290,1324146978,0.059638592,0.000282024
291,1324146980,0.0600489,0.000285627
292,1324146981,0.059957592,0.000284826
293,1324146982,0.059957608,0.000284827
294,1324146986,0.059710144,0.000282653
295,1324146989,0.059784378,0.000283306
296,1324146990,0.059828009,0.000283689
297,1324146991,0.059947634,0.000284739
298,1324146992,0.060653351,0.000290913
299,1324146993,0.059939343,0.000284666
300,1324146994,0.102647621,0.000189512
301,1324147000,0.060048746,0.000285626
302,1324147001,0.060005912,0.00028525
303,1324147002,0.099894617,0.00010683
304,1324147003,0.060854248,0.000292665
305,1324147004,0.099894617,0.00010683
306,1324147005,0.06014277,0.00028645
307,1324147007,0.059949883,0.000284759
308,1324147009,0.059621609,0.000281874
309,1324147013,0.072059237,0.00016541
310,1324147014,0.061070774,0.000294549
311,1324147015,0.059962408,0.000284869
312,1324147016,0.059948623,0.000284748
313,1324147017,0.060110949,0.000286171
314,1324147019,0.059806751,0.000283502
315,1324147023,0.059622267,0.00028188
316,1324147025,0.059796105,0.000283409
317,1324147028,0.061172309,0.000295432
318,1324147031,0.05984439,0.000283833
319,1324147033,0.059699465,0.000282559
320,1324147034,0.059708481,0.000282638
321,1324147040,0.059667305,0.000282276
322,1324147042,0.059979668,0.00028502
323,1324147044,0.064173686,0.000110767
324,1324147045,0.05967088,0.000282308
325,1324147046,0.062355938,0.00013511
326,1324147047,0.059665189,0.000282258
327,1324147054,0.09104882,0.000171579
328,1324147055,0.059964866,0.00028489
329,1324147057,0.059794384,0.000283393
330,1324147058,0.060413548,0.000275327
331,1324147059,0.059613972,0.000281807
332,1324147066,0.059958575,0.000284835
333,1324147067,0.059934202,0.000284621
334,1324147069,0.059721568,0.000282753
335,1324147070,0.05968568,0.000282438
336,1324147071,0.093011753,0.000152232
337,1324147076,0.059934124,0.00028462
338,1324147077,0.059648496,0.000282111
339,1324147079,0.059934202,0.000284621
340,1324147083,0.060301227,0.000287837
341,1324147084,0.059696822,0.000282536
342,1324147087,0.060289888,0.000287738
343,1324147088,0.059779515,0.000283263
